period,month,trades,wins,win_rate,profit_r,profit_usd
training,2023-01,101,48,47.5,2.19,2188.33
training,2023-02,64,31,48.4,2.86,2863.59
training,2023-03,87,48,55.2,22.74,22744.87
training,2023-04,58,34,58.6,14.46,14457.05
training,2023-05,74,37,50.0,8.42,8420.5
training,2023-06,60,33,55.0,12.52,12518.5
training,2023-07,107,45,42.1,-8.51,-8508.55
training,2023-08,65,31,47.7,0.92,920.95
training,2023-09,66,18,27.3,-31.1,-31096.92
training,2023-10,87,43,49.4,10.32,10317.93
training,2023-11,84,28,33.3,-27.61,-27613.97
training,2023-12,56,34,60.7,20.71,20708.61
training,2024-01,64,39,60.9,22.72,22715.96
training,2024-02,58,25,43.1,-2.37,-2371.86
training,2024-03,64,25,39.1,-9.41,-9411.23
training,2024-04,125,63,50.4,16.15,16147.43
training,2024-05,58,29,50.0,6.2,6202.65
training,2024-06,77,33,42.9,-6.68,-6677.36
training,2024-07,67,21,31.3,-22.22,-22220.23
training,2024-08,54,27,50.0,6.58,6577.94
training,2024-09,60,27,45.0,-3.77,-3767.77
training,TOTAL,1536,719,46.8,35.12,35116.42
validation,2024-10,53,30,56.6,10.97,10971.52
validation,2024-11,99,44,44.4,-4.01,-4011.66
validation,2024-12,68,32,47.1,-2.55,-2548.81
validation,2025-01,96,37,38.5,-14.73,-14727.93
validation,2025-02,76,38,50.0,5.02,5017.64
validation,2025-03,57,27,47.4,11.35,11345.96
validation,2025-04,96,62,64.6,51.82,51824.37
validation,2025-05,58,36,62.1,18.12,18124.46
validation,2025-06,47,25,53.2,12.84,12842.43
validation,2025-07,62,23,37.1,-11.86,-11857.54
validation,2025-08,75,50,66.7,32.66,32656.97
validation,2025-09,59,33,55.9,12.11,12112.79
validation,2025-10,85,46,54.1,15.21,15206.01
validation,2025-11,78,35,44.9,-4.53,-4532.21
validation,2025-12,13,9,69.2,4.8,4802.42
validation,TOTAL,1022,527,51.6,137.23,137226.41
final,2023-01,12,6,50.0,3.14,1037.19
final,2023-02,12,4,33.3,-1.78,-588.09
final,2023-03,80,36,45.0,18.73,6180.73
final,2023-04,64,38,59.4,33.36,11009.65
final,2023-05,76,37,48.7,22.63,7468.91
final,2023-06,69,36,52.2,26.22,8653.75
final,2023-07,114,49,43.0,17.29,5706.64
final,2023-08,67,31,46.3,11.92,3934.1
final,2023-09,69,22,31.9,-14.56,-4805.19
final,2023-10,95,47,49.5,30.0,9899.51
final,2023-11,21,7,33.3,-2.8,-925.44
final,2023-12,12,9,75.0,15.17,5007.03
final,2024-01,20,13,65.0,21.03,6938.42
final,2024-02,10,8,80.0,16.45,5427.44
final,2024-03,73,37,50.7,20.77,6854.24
final,2024-04,142,71,50.0,48.52,16010.89
final,2024-05,68,33,48.5,21.07,6954.03
final,2024-06,82,36,43.9,11.81,3897.59
final,2024-07,71,24,33.8,-7.58,-2503.0
final,2024-08,65,32,49.2,20.71,6834.49
final,2024-09,92,45,48.9,23.6,7787.72
final,2024-10,56,32,57.1,26.83,8852.96
final,2024-11,11,9,81.8,17.07,5633.66
final,2024-12,18,6,33.3,-1.84,-608.5
final,2025-01,22,11,50.0,6.84,2258.68
final,2025-02,11,4,36.4,0.2,66.93
final,2025-03,57,27,47.4,27.36,9029.69
final,2025-04,95,54,56.8,61.33,20239.93
final,2025-05,60,36,60.0,30.61,10101.23
final,2025-06,48,26,54.2,26.31,8683.43
final,2025-07,68,26,38.2,-0.75,-245.88
final,2025-08,77,45,58.4,40.91,13499.33
final,2025-09,65,35,53.8,26.56,8765.99
final,2025-10,88,47,53.4,36.7,12111.26
final,2025-11,13,3,23.1,-5.43,-1791.86
final,2025-12,5,5,100.0,7.42,2447.08
final,TOTAL,2008,987,49.2,635.83,209824.54
