trial,score,p_target,p30,p40,p50,complete_rate,median_days,fastest,breach_rate,n
0,756.0,0.6,0.6,0.72,0.84,0.92,28,9,0.0,25
1,890.0,0.72,0.72,0.84,0.84,0.96,22,7,0.0,25
2,-111000.0,0.0,0.0,0.0,0.0,0.0,,,0.111,9
3,-83000.0,0.0,0.0,0.0,0.0,0.0,,,0.083,12
4,522.0,0.4,0.4,0.52,0.64,0.76,30,16,0.0,25
5,-67000.0,0.0,0.0,0.0,0.0,0.0,,,0.067,15
6,-111000.0,0.0,0.0,0.0,0.0,0.0,,,0.111,9
7,-67000.0,0.0,0.0,0.0,0.0,0.0,,,0.067,15
8,-133000.0,0.0,0.0,0.0,0.0,0.0,,,0.133,15
9,-333000.0,0.0,0.0,0.0,0.0,0.0,,,0.333,3
10,890.0,0.72,0.72,0.84,0.84,0.96,22,7,0.0,25
11,-333000.0,0.0,0.0,0.0,0.0,0.0,,,0.333,3
12,703.0,0.56,0.56,0.68,0.76,0.84,25,7,0.0,25
13,882.0,0.72,0.72,0.84,0.88,0.92,22,7,0.0,25
14,-67000.0,0.0,0.0,0.0,0.0,0.0,,,0.067,15
15,-67000.0,0.0,0.0,0.0,0.0,0.0,,,0.067,15
16,-333000.0,0.0,0.0,0.0,0.0,0.0,,,0.333,3
17,-333000.0,0.0,0.0,0.0,0.0,0.0,,,0.333,3
18,-333000.0,0.0,0.0,0.0,0.0,0.0,,,0.333,3
19,890.0,0.72,0.72,0.84,0.84,0.96,22,7,0.0,25
20,890.0,0.72,0.72,0.84,0.84,0.96,22,7,0.0,25
21,890.0,0.72,0.72,0.84,0.84,0.96,22,7,0.0,25
22,-67000.0,0.0,0.0,0.0,0.0,0.0,,,0.067,15
23,490.0,0.36,0.36,0.44,0.56,0.84,38,14,0.0,25
24,890.0,0.72,0.72,0.8,0.88,0.96,22,7,0.0,25
25,682.0,0.52,0.52,0.72,0.84,0.92,22,7,0.0,25
26,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
27,-67000.0,0.0,0.0,0.0,0.0,0.0,,,0.067,15
28,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
29,-133000.0,0.0,0.0,0.0,0.0,0.0,,,0.133,15
30,-67000.0,0.0,0.0,0.0,0.0,0.0,,,0.067,15
31,-167000.0,0.0,0.0,0.0,0.0,0.0,,,0.167,6
32,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
33,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
34,-333000.0,0.0,0.0,0.0,0.0,0.0,,,0.333,3
35,-67000.0,0.0,0.0,0.0,0.0,0.0,,,0.067,15
36,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
37,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
38,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
39,665.0,0.52,0.52,0.68,0.8,0.84,23,14,0.0,25
40,-333000.0,0.0,0.0,0.0,0.0,0.0,,,0.333,3
41,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
42,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
43,-333000.0,0.0,0.0,0.0,0.0,0.0,,,0.333,3
44,-83000.0,0.0,0.0,0.0,0.0,0.0,,,0.083,12
45,-67000.0,0.0,0.0,0.0,0.0,0.0,,,0.067,15
47,-125000.0,0.0,0.0,0.0,0.0,0.0,,,0.125,16
48,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
49,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
50,568.0,0.44,0.44,0.52,0.68,0.76,24,10,0.0,25
51,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
52,665.0,0.52,0.52,0.68,0.8,0.84,23,14,0.0,25
53,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
54,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
55,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
56,890.0,0.72,0.72,0.84,0.84,0.96,22,7,0.0,25
57,753.0,0.6,0.6,0.8,0.84,0.88,23,7,0.0,25
58,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
59,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
60,555.0,0.44,0.44,0.56,0.64,0.68,21,9,0.0,25
61,-188000.0,0.0,0.0,0.0,0.0,0.0,,,0.188,16
62,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
63,898.0,0.72,0.72,0.84,0.88,1.0,22,7,0.0,25
64,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
65,1023.0,0.84,0.84,0.84,0.84,1.0,17,6,0.0,25
66,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
67,1011.0,0.84,0.84,0.84,0.84,0.96,21,7,0.0,25
68,903.0,0.72,0.72,0.92,0.96,1.0,17,6,0.0,25
69,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
70,-125000.0,0.0,0.0,0.0,0.0,0.0,,,0.125,16
71,-42000.0,0.0,0.0,0.0,0.0,0.0,,,0.042,24
